Time (s) \ Spawnpoint,0,1,2,3,4,5,6,7,8,9
77,,,,,,,,,spider,
78,,,small ogre,,,,crab,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,ghost,,,,,
82,,,,,,,small ogre,,,
83,,,,,,,,,,
84,,,,,,,,,crab,
85,,,,,,,,,,
86,,,,,,,,ghost,,
87,,,,,,,,,,small ogre
88,,,,,,,,,,
89,,,,,,,,,,
90,ghost,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,small ogre,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,,,,,,,ghost,,,
105,,,,,,,,,,
106,crab,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,spider,,
110,,,,,,,,,bat,spider
111,,,,,,,,,,
112,,,,bat,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,crab,,,,bat
116,,,,,,,,spider,,
117,,,,,,,,,,
118,,,,,,,,,,
119,,,,,,,,,,
120,,,,,,,,,,
121,ghost,,,,,,,,small ogre,
122,,,,spider,,,,,,
123,,,,,,,,,,
124,,,,,,,,,,
125,,,,,,,,,,
126,,,,,,,,,,
127,,,,,,,,,,
128,,,bat,,,,,,,
129,,,,,,,,,,
130,,,,,,,,,,
131,,,,,,,,ghost,,ghost
132,,,,,,,,,,
133,,,,,,,bat,,,
134,,,,,,,,,,
135,,crab,,,,,,,,
136,,,,,,,,,,
137,,,,,,,,,,
138,,,,,,,bat,,spider,
139,,,,,,,,,,
140,spider,,,,,,,,,
141,,,,,,,,,,
142,,,,,,,,,,
143,,,,,,,,,,
144,,,,,ghost,,,,,
145,,,,,,,spider,,,
146,,,,,,,,,,
147,,,,,,,,,bat,
148,,,,,,,,,,
149,,,spider,,,,,,,
150,,,,,,,,,,
151,,,,,,,,,,
152,,,,,,ghost,,,,
153,,,,,,,,,,
154,,ghost,,,,,,,,
155,,,,,,,,,,
156,,,,,,,,,,
157,,,,,,,,,,
158,,,,,,,,,,
159,,,,,,,,,,
160,,,,,ghost,,,,,
161,,,,,,,,,,
162,,,,,,,,,,
163,,,,,,,,,,
164,,,,,,,,,,
165,,,,,,,,small ogre,,
166,,,small ogre,,,,,,,
167,,,,,,,,,,ghost
168,,,,,,,,,,
169,,,,,bat,,small ogre,,,
170,,,,,,,,,,
171,,,spider,,,,,,,
172,,,,,,,,,,
173,,,,,bat,,,,,
174,,,,,,,,,,
175,,crab,,,,,,,,
176,,,,,,,,,,
177,,,,,,,,,,
178,,,,,,,,,,
179,,,,,,,,,,
180,crab,,,,,,,,,
181,,,,,,,,,,
182,,,,,,,,,,
183,,,,,,,,,,
184,,,,,,,,,,
185,,,,,spider,,,,,
186,,,,,,,,,,
187,,,,,,,,,,
188,,,,,,,,,,
189,,,,small ogre,,,,,,
190,,,,,,,,,,
191,,,,,,,,,,
192,,,,,,,,,,
193,,,,,,,,,small ogre,
194,small ogre,,,,,,bat,,,
195,,,,,,,,,,
196,,,,,,,,,,
197,,,,,,,,,,
198,,,,,,,,,,
199,,,spider,,,,,,,
200,,,,,,,,,,
201,,,,,,,,,,small ogre
202,,,,,,,,,,
203,,,,small ogre,,,,,,
204,,,,,,,,,,
205,,,spider,,,,,,,
206,small ogre,,,,,,,,,
207,,,,,,,,crab,,
208,,,,,,,,,,
209,,,,,,,bat,,,
210,,,small ogre,,,,,,,
211,,,,,,,,,,
212,,ghost,,,,,,,spider,
213,,,,,,,,bat,,
214,,,,,,,,,,
215,ghost,,,,,,,,,
216,,,,,,ghost,,,,
217,,,,,,,,,,
218,,,,,,,,,,ghost
219,,,,,,,,,,
220,,,,,small ogre,,,,,
221,,,,,,,,,,
222,,,,,,,,,,
223,,,,,,,,,,
224,,,,,,,,,spider,
225,,,,,,,,,,
226,,,,,,,,,,
227,,,,,,,bat,,,
228,,,,,,,,,,
229,small ogre,,,,,,,,,
230,,,,,,,,,,ghost
231,,,,,,,,,,
232,,,,,,,,,,
233,,,,,,spider,,,,
234,,,,,,,,,,
235,,,,,,,,,,
236,,,,,,,,,,
237,,,,,,,,small ogre,,
238,,bat,,,,,,,,
239,,,,,,,,,,
240,,,,,,,,,,
241,,,,,,,,,,
242,,,,,,,,,,
243,,,,,,,small ogre,,,
244,,,,spider,,,,,,
245,,,,,,,,,,
246,spider,,,,,,,,,
247,,,,,,,,,,bat
248,,,,,,spider,,,,
249,,bat,,,,,,,,
250,,,,,,,,small ogre,,bat
251,,,,,,,,,,
252,,,,,,,,,,
253,,,,bat,,,,,,
254,,,,,,,,,,
255,,,,,,,,,,
256,,,,,,,,,,
257,,,crab,,,,,,ghost,
258,,,,,,,spider,,,bat
259,,,,,,small ogre,,,,
260,,bat,,bat,,,,,,
261,,,,,,,,,,
262,,,,,,,,,,
263,,,,,,bat,,,,
264,,,,,,,,spider,,
265,,,,,,,,,,
266,,,,,,,,,,
267,,,,,,,,,,
268,,,,,,,,,,
269,,,,,,,,,,
270,,,,,,,,,,
271,,,,,,,,,,
272,,,,,,,,,,
273,,,,ghost,ghost,,,,,
274,,,,,,,,,,
275,,,,,,,,,,
276,,,,,,,,,,
277,,,,,,,,,,
278,,,,,,,,,,
279,,,,,,,,,,
280,,,,,,,,,,
281,,,,,,,,,,
282,,,,,,,,,small ogre,
283,,,,,,,,,,
284,ghost,,,spider,,,,,,
285,,,,,,,,,,ghost
286,,,,,,,,,,
287,,,,,bat,,,,bat,
288,,,,,,,,,,
289,,,,,,,,,,spider
290,,,,,,,,,,
291,,,,,,,,,,
292,,,,,,,,,,
293,,,,,,spider,,,,
294,small ogre,,,,,,,,,
295,,,,,,,,,,
296,,,,,,,,spider,,
297,,,,,,,,,,
298,,,,,,,,,,
299,,,,,,,,,,
300,,,,,,,big ogre,,,
301,,,,,,,,,,
302,,,,spider,,,,,,
303,small ogre,,,,,,,,,
304,,,,,,,,,,
305,,,,,,,,,,
306,,,,,,,,,,
307,spider,,,,,,,spider,,
308,,,,,,,,,,
309,,,,,,,,,,
310,,,,,,,,,,
311,,,,,,,,,,
312,bat,,,,,,,,,
313,,,,,,,,,,
314,,,,,spider,,,,,
315,,,,,,,,,,
316,,,,,,,,,,
317,,spider,,,,,,,,
318,,,,,,,,,,
319,,,,,,,,,,
320,,,,ghost,,,,,,
321,,,,,,,,,,
322,,,,,,,,,,
323,,,small ogre,,,,,,,
324,,,,,,,,,,
325,,,,,,,,,,
326,,bat,,,,,,,,
327,,,,,,,,,,
328,,,,,,,,,,
329,,spider,,,,,,,,
330,,,,,,,,,,
331,,,,small ogre,,,,,,
332,,,,,,,,,,
333,,,small ogre,,,spider,,,,
334,,,,,,,,,,
335,,,,,,,,spider,,
336,,,,,,,,,,
337,,,,,,,,,,
338,,bat,,,,,,,,
339,,,,,,,,,,
340,,,,,,,,,,
341,,,,,,,,,,
342,,,,spider,,,ghost,,spider,spider
343,,,,,,,,,,
344,,,ghost,,,,,,,
345,,,,,small ogre,,,,,
346,,,,,,,,,,
347,ghost,,,,,,,,,
348,,,,,,,,,,
349,,,bat,,,,,,bat,
350,,,,,,,,,,
351,,,,,,,,,,
352,,,,,,,,,,
353,,,,,bat,,,,,
354,,,,,,,,,,
355,,,spider,,,,,,,
356,,,,,,,,crab,,
357,,,,,,,,,,
358,,,,,,,,,,
359,,,,,,,,,,
360,,,,,,,,,,
361,,,,,,,,,,
362,,,,,,,,,,
363,,,,,,,,,,
364,,,,,,,,,,
365,,,,,,ghost,,,,
366,,,,,,,,,,
367,,,,,,,,,,
368,,crab,,,,,,,,
369,,,,,,,,,,
370,,,,,,,,,,
371,,,,,,,,,spider,
372,small ogre,,,,,,,,,
373,,,,,,,,,,bat
374,,,,,,,,,,
375,,,,,,,,,,
376,,,,,,,,,,
377,,,,,,,small ogre,,spider,
378,,,,small ogre,,,,,,
379,,,,,,,,,,
380,,ghost,,,,,,,,spider
381,,,,,,spider,bat,,,
382,,,,,,,,,,
383,,,,,,,,,,
384,,,,,,,,,,
385,,,,,,,,,bat,small ogre
386,,bat,,,,small ogre,,,,
387,,,,,,,,,,
388,,,,,,,,,,
389,,,,,,,,,,
390,small ogre,,,,,,,,,
391,,,,,,,,,,
392,,,,,bat,,,,,
393,,,,,,,,,,
394,,,,,,,,,,
395,,,,,,,,,,
396,,small ogre,,,,,,,,
397,,,,,,,,,,
398,,,,crab,,,,,,
399,,,,,,,,,,
400,,,,,,,,,,
401,,,,,,,,,,
402,,spider,,,,,,ghost,,
403,,,,,,,,,,
404,,,,,,,,,,
405,,,,,,,,,,
406,,,,,,,,,,
407,,,spider,,,,,spider,,
408,,,,,,,,,,
409,,,,,,,,,,
410,ghost,,,,,,,,,
411,,,,,,,,,,
412,,,,,,,,,,
413,,,,,,spider,,,,
414,bat,,small ogre,,,,,,,
415,,,,,,,,,,
416,,,,ghost,,,,,,
417,,,,,,,,,,
418,,,,,,,,,,
419,,,,,,,,,bat,
420,,,,,ghost,spider,,,,
421,,,,,,,,,,bat
422,,,,,,,,,,
423,,,,,,,,,,
424,,,spider,,,,,bat,,
425,,,,,,,,,,
426,,,,,,,,,,
427,,,,,,,,,,
428,,,,,,,,bat,,
429,,,,ghost,,,,,,
430,,,spider,,,,,,,
431,,,,,,,,,,
432,,,,,,,,,,
433,,,,,,,,,,
434,small ogre,,,spider,,,,,,
435,,,,,,,,,,
436,,,ghost,,,,,,,
437,,,,,,,,,,
438,bat,,,,,,,,,
439,,,,,,,small ogre,,,
440,,,,,,,,,,
441,,,,,,,,,,
442,,,,,,,,,spider,
443,,,bat,,,,,,,
444,,,,,,,,,,
445,small ogre,,,,ghost,,ghost,,,
446,,,,,,,,,,
447,,,,,,,,,,
448,,,,,,,,,,
449,,,,,,,,,,
450,,,,,,,,,,
451,,,,,,,,,,
452,,,,,,,,,,
453,,,,,,,,,small ogre,
454,,,,,,,,,,
455,,,,,,,,,,
456,,,,,,,,,,
457,,,,,,,,,,
458,ghost,ghost,,,,,,,,
459,,,,,,,,,,spider
460,,,,,,,,,,
461,,,,,,,,,,
462,spider,spider,,,,,,,,
463,,,,,,,,,,
464,,,,,,,,,,
465,,,,,small ogre,,,,,
466,spider,,,,,,,,,
467,,,,,,,,,,spider
468,,,,ghost,,,,,,
469,,,,,,,,,,
470,,,,,,,,,,
471,,,,,,,,,,
472,,,,,,,,,,
473,,,,,,,small ogre,,,
474,,,,,,,,,,
475,,,,,,,,,,
476,,crab,,,,,,,,
477,,,,,,,,,,
478,,,,,,,,,,
479,,,,,,,,,,
480,spider,,,spider,,,,,,
481,,,,,,,,,,
482,,,,,,,,,,
483,,,,,,,,,,
484,,,,,,,,,,bat
485,,,,,,,,,,
486,,,,,,bat,,,,
487,,,,,,,,,,
488,,,,,,,,,,
489,,,,,,,,,,
490,,,small ogre,,,,,,,
491,,,,,,,,,,
492,,,,,,,,,,
493,,,,,crab,,,,,
494,,,,,,,,spider,,
495,,,,,,,,,,
496,,small ogre,,,,,,,,
497,,,,,,,,,,
498,,,,,,,,,,
499,,,,,,,,,,bat
500,,,,,,ghost,,,,
501,,,,,,,,,,
502,,,,,,,,bat,,
503,,,,,,,,,,
504,,,spider,,,,,,,
505,,,,,,,bat,,,
506,,,,,,,,,,
507,,,,,,,,,,
508,,,,,,,,,,
509,,,,,spider,,,,,
510,,,,,,,,,,
511,,,,,,,,,,
512,,,,,,,,,,
513,,,,,,,,,,bat
514,,,,crab,,,,,,
515,,,,,,,,,,
516,,,,,,,,,,
517,,,,,,,,,,
518,,,,,,,,,small ogre,
519,,,,,,,,,,
520,,,,,,,,,,
521,,,,,,,,,,
522,,,ghost,,,,,bat,,
523,,,,,,,,,,
524,,,,,,,,,,
525,,,,,,,,,,
526,,,,,,,,,,
527,,,,,,,,bat,,spider
528,,,,bat,,,,,,
529,,,,,,,,,,
530,,,,,,,,,,
531,,,,,,,,,,
532,,,,,,ghost,ghost,,,
533,,,,,,,,,,
534,,,,,,,,,spider,
535,,,,,,,,,,
536,,,,,,bat,bat,,,
537,,,,,,,,,,
538,,,,,,,,,,bat
539,,,,,,,,,,
540,,,,,,,,,,
541,,,,,,,,,,
542,,,,,,,,,,
543,,,,,,,,,,
544,,,,,,,,,,
545,small ogre,,,,,,,,,
546,,,,,,,,,,
547,,,,,,,,,,
548,small ogre,,,,spider,,,,,
549,,,,,,,,,,
550,,,,,,,bat,,,
551,,ghost,,,bat,,,,,
552,,,,,,,,,,
553,,,,,,,,,,
554,,,crab,,,,,,,
555,,,,,,,,,,
556,,,,,,,,,,
557,,,,,,,,,,
558,,,,,,,,,bat,
559,bat,,bat,,,,,,,
560,,,,,,,,,,small ogre
561,,,,,,,,,,
562,,,,,,,,ghost,,
563,,,,,,,,,,
564,,,,,,,,,,
565,,,,,,,,,,
566,,,,,,,,,,
567,,,,,,,,,,
568,small ogre,,,,,,,,,
569,,,,,,,,,,
570,,,,,,,,,,
571,,ghost,,,,,,,,
572,,,,,,,,,,
573,,,,,,,,,,
574,,,,,,,,,,
575,,,,,,,,,,
576,,,,,,,,,,
577,,,,,,,,,,
578,,,,,,,,,,
579,,,spider,spider,big ogre,,,,,
580,,,,,,,,,,
581,,,,,,,spider,,,
582,,,,,,,,,,
583,,,,,,,,,ghost,
584,,,,,,,,,,
585,,,,,,,,,,
586,,,,,,,,,,
587,,,,,,,,,,
588,,,,,,,,,,
589,,,,,,,,,,
590,,,,,,,,,,small ogre
591,,,,,,,,,,
592,,small ogre,,,,,,,,
593,,,,,,,,,,
594,,,,,spider,ghost,,,crab,
595,,,,spider,,,,,,
596,,ghost,,,,,,,,
597,,,,,,,,small ogre,,
598,small ogre,,,,bat,,,,,
599,,,small ogre,,,,small ogre,,small ogre,
600,,big ogre,,,,spider,,big ogre,,bat
